url;owner;committer;decision;submission date;decision date
https://github.com/apache/drill/pull/511;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-06-01 11:19:15;2016-06-21 13:48:07
https://github.com/apache/drill/pull/509;chunhui-shi;<User (chunhui-shi)>;merged;2016-05-26 07:00:47;2016-10-10 21:47:16
https://github.com/apache/drill/pull/508;amansinha100;<User (amansinha100)>;merged;2016-05-26 00:25:10;2016-05-26 01:18:05
https://github.com/apache/drill/pull/507;PythonicNinja;<User (PythonicNinja)>;merged;2016-05-21 18:49:22;2016-07-23 04:58:59
https://github.com/apache/drill/pull/506;aaas24;<User (aaas24)>;merged;2016-05-20 20:23:10;2016-06-02 18:05:21
https://github.com/apache/drill/pull/504;amansinha100;<User (amansinha100)>;merged;2016-05-20 05:22:41;2016-05-20 22:08:46
https://github.com/apache/drill/pull/503;adeneche;<User (adeneche)>;merged;2016-05-15 16:21:18;2016-05-19 01:50:27
https://github.com/apache/drill/pull/502;jcmcote;<User (jcmcote)>;merged;2016-05-14 22:09:03;2016-07-22 10:11:04
https://github.com/apache/drill/pull/501;vdiravka;<User (vdiravka)>;merged;2016-05-11 12:23:15;2016-06-21 14:40:26
https://github.com/apache/drill/pull/500;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-05-09 16:22:20;2016-06-21 13:58:05
https://github.com/apache/drill/pull/499;adeneche;<User (adeneche)>;merged;2016-05-05 00:09:29;2016-05-07 00:14:49
https://github.com/apache/drill/pull/496;pwong-mapr;<User (pwong-mapr)>;merged;2016-05-04 20:25:42;2016-10-07 00:27:23
https://github.com/apache/drill/pull/495;sudheeshkatkam;<User (sudheeshkatkam)>;merged;2016-05-04 06:13:19;2016-05-17 22:06:56
https://github.com/apache/drill/pull/494;pwong-mapr;<User (pwong-mapr)>;merged;2016-05-03 22:19:50;2016-05-03 22:50:28
https://github.com/apache/drill/pull/493;parthchandra;<User (parthchandra)>;merged;2016-05-03 15:33:53;2016-07-15 18:52:20
https://github.com/apache/drill/pull/492;pwong-mapr;<User (pwong-mapr)>;merged;2016-05-03 01:30:57;2016-05-03 17:51:03
https://github.com/apache/drill/pull/491;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-05-02 14:50:37;2016-06-27 09:32:22
https://github.com/apache/drill/pull/490;hsuanyi;<User (hsuanyi)>;merged;2016-04-29 03:59:05;2016-05-04 16:26:47
https://github.com/apache/drill/pull/487;yaojingguo;<User (yaojingguo)>;merged;2016-04-22 10:08:52;2016-10-11 01:45:45
https://github.com/apache/drill/pull/486;sudheeshkatkam;<User (sudheeshkatkam)>;merged;2016-04-21 17:34:11;2016-08-07 17:00:29
https://github.com/apache/drill/pull/485;chunhui-shi;<User (chunhui-shi)>;merged;2016-04-18 23:59:12;2016-04-20 05:32:52
https://github.com/apache/drill/pull/483;vkorukanti;<User (vkorukanti)>;merged;2016-04-18 14:15:55;2016-08-07 21:04:34
https://github.com/apache/drill/pull/482;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-04-18 12:08:09;2016-12-04 19:21:37
https://github.com/apache/drill/pull/481;aaas24;<User (aaas24)>;merged;2016-04-15 18:30:41;2016-05-20 20:15:20
https://github.com/apache/drill/pull/478;paul-rogers;<User (paul-rogers)>;merged;2016-04-14 17:42:51;2016-10-06 23:25:41
https://github.com/apache/drill/pull/477;paul-rogers;<User (paul-rogers)>;merged;2016-04-14 00:12:01;2016-04-14 17:38:51
https://github.com/apache/drill/pull/476;vkorukanti;<User (vkorukanti)>;merged;2016-04-13 18:31:50;2016-08-07 21:01:09
https://github.com/apache/drill/pull/475;vdiravka;<User (vdiravka)>;merged;2016-04-13 11:37:18;2016-05-03 17:51:04
https://github.com/apache/drill/pull/474;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-04-08 17:02:53;2016-11-01 15:25:12
https://github.com/apache/drill/pull/473;vkorukanti;<User (vkorukanti)>;merged;2016-04-07 22:03:28;2016-04-13 18:28:02
https://github.com/apache/drill/pull/472;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-04-07 20:16:48;2016-05-03 17:51:04
https://github.com/apache/drill/pull/471;jinfengni;<User (jinfengni)>;merged;2016-04-07 18:35:12;2016-10-03 22:04:18
https://github.com/apache/drill/pull/470;chunhui-shi;<User (chunhui-shi)>;merged;2016-04-07 07:59:07;2016-05-20 22:50:10
https://github.com/apache/drill/pull/469;sudheeshkatkam;<User (sudheeshkatkam)>;merged;2016-04-06 23:44:35;2016-04-07 01:07:31
https://github.com/apache/drill/pull/468;jinfengni;<User (jinfengni)>;merged;2016-04-06 23:05:33;
https://github.com/apache/drill/pull/467;vdiravka;<User (vdiravka)>;merged;2016-04-06 09:10:59;2016-05-03 17:51:04
https://github.com/apache/drill/pull/463;jacques-n;<User (jacques-n)>;merged;2016-04-05 23:42:31;2016-04-13 21:42:41
https://github.com/apache/drill/pull/462;vkorukanti;<User (vkorukanti)>;merged;2016-04-05 18:43:35;2016-08-07 21:04:21
https://github.com/apache/drill/pull/461;hsuanyi;<User (hsuanyi)>;merged;2016-04-05 17:25:17;
